bt,km,transmission,owner,modelYear,price,place,Insurance Validity,Fuel Type,Seats,Engine Displacement,oem_encoded,num_features,num_Comfort,num_Interior,num_Exterior,frequency_encoded_model,variantName_encoded
0.0,10000,1,1,2022,550000,2,0.0,0.0,5,999,27,9,10,7,8,0.01792328832596487,0.001194885888397658
1.0,53645,0,1,2018,825000,2,1.0,1.0,5,1497,29,9,10,11,6,0.01051499581789939,0.0002389771776795316
0.0,100000,0,2,2006,220000,2,0.0,0.0,5,1341,9,9,9,3,4,0.0008364201218783606,0.003106703309833911
0.0,53982,1,1,2014,428000,2,1.0,0.0,5,998,20,8,10,8,6,0.0181622655036444,0.003106703309833911
2.0,110000,0,1,2014,695000,2,0.0,1.0,5,1498,28,9,18,12,11,0.007886246863424543,0.0001194885888397658
1.0,37741,0,2,2019,930000,2,0.0,0.0,5,1496,6,9,20,13,16,0.01995459433624089,0.0007169315330385948
0.0,17367,0,1,2021,455000,2,1.0,0.0,5,796,20,9,6,6,5,0.019476639980881824,0.0013143744772374237
1.0,94000,0,1,2017,1195000,2,1.0,1.0,5,1582,9,9,23,11,16,0.023180786234914565,0.000597442944198829
1.0,33700,1,1,2021,2175000,2,1.0,1.0,5,1956,29,9,17,15,16,0.0035846576651929743,0.0001194885888397658
0.0,54601,0,3,2014,442000,2,1.0,0.0,5,1197,20,9,11,7,7,0.041821006093918034,0.04026765443900108
0.0,110000,0,1,2018,690000,2,0.0,1.0,5,1248,20,9,12,10,5,0.041821006093918034,0.009320109929501733
0.0,64000,0,2,2017,500000,2,2.0,0.0,5,998,20,9,11,10,10,0.0181622655036444,0.000597442944198829
2.0,40525,1,1,2016,3395000,2,1.0,1.0,5,1995,1,9,28,15,15,0.0014338630660771896,0.0008364201218783606
2.0,100000,0,1,2015,650000,2,0.0,1.0,5,1248,20,9,16,11,9,0.015294539371490022,0.0004779543553590632
0.0,44154,1,2,2016,537000,2,1.0,0.0,5,1199,8,9,13,12,12,0.01338272195005377,0.002509260365635082
3.0,70000,0,1,2016,750000,2,0.0,1.0,7,1461,27,9,19,13,11,0.0002389771776795316,0.0002389771776795316
2.0,79000,1,1,2018,1789999,2,1.0,0.0,5,1798,28,9,25,13,15,0.002031306010276019,0.0007169315330385948
0.0,68039,0,2,2017,468000,2,0.0,0.0,5,1199,29,9,10,10,7,0.011470904528617517,0.0003584657665192974
0.0,60000,0,2,2014,420000,2,0.0,0.0,5,1197,20,8,10,9,7,0.005257497908949695,0.003465169076353208
0.0,60000,0,2,2014,420000,2,0.0,0.0,5,1197,20,8,10,9,7,0.005257497908949695,0.003465169076353208
0.0,10000,0,1,2021,919999,2,0.0,0.0,5,998,9,9,27,12,19,0.03955072290596248,0.0002389771776795316
2.0,49873,0,1,2013,533000,2,2.0,0.0,5,1497,8,9,14,7,8,0.04421077787071335,0.0038236348428725055
0.0,90000,1,3,2013,850000,2,0.0,0.0,5,1197,31,9,11,11,10,0.017564822559445574,0.0021507945991157845
2.0,48960,0,2,2017,751000,2,0.0,1.0,5,1498,28,9,22,13,11,0.007886246863424543,0.0007169315330385948
0.0,70000,0,2,2014,388000,2,0.0,1.0,5,1120,9,8,8,8,3,0.03106703309833911,0.0002389771776795316
0.0,68000,0,2,2013,490000,2,1.0,0.0,5,1197,9,9,10,11,10,0.03955072290596248,0.007886246863424543
1.0,23017,0,1,2016,494000,2,2.0,1.0,6,1198,17,9,10,11,10,0.002031306010276019,0.0001194885888397658
0.0,83000,0,2,2013,525000,2,1.0,1.0,5,1396,9,9,11,11,13,0.03955072290596248,0.0015533516549169554
1.0,92000,1,2,2016,2890000,2,1.0,1.0,5,1995,1,9,25,13,13,0.0021507945991157845,0.0002389771776795316
0.0,62139,0,1,2018,550000,2,1.0,0.0,5,998,20,9,11,9,12,0.02987214720994145,0.0001194885888397658
0.0,74000,0,1,2013,365000,2,1.0,,5,1086,9,8,8,6,5,0.021866411757677142,0.0001194885888397658
0.0,26500,1,2,2016,420000,2,1.0,0.0,5,999,27,9,9,9,7,0.01792328832596487,0.0010753972995578922
2.0,81716,1,1,2017,1895000,2,1.0,1.0,5,1969,32,9,22,13,11,0.0010753972995578922,0.0003584657665192974
2.0,24000,1,2,2018,5990000,2,1.0,1.0,5,2987,21,9,31,15,13,0.005496475086629227,0.0002389771776795316
1.0,10000,1,1,2022,1050000,2,0.0,0.0,5,1197,17,9,13,10,10,0.004421077787071335,0.0003584657665192974
1.0,18000,1,1,2021,2075000,2,1.0,0.0,6,1451,16,9,20,5,23,0.0017923288325964871,0.001194885888397658
0.0,38197,0,1,2013,394000,2,2.0,0.0,5,1198,8,9,10,8,5,0.00740829250806548,0.004779543553590632
0.0,23000,1,2,2017,725000,2,1.0,0.0,5,1197,20,9,16,11,15,0.03524913370773091,0.0008364201218783606
0.0,50000,0,1,2013,240000,2,0.0,0.0,5,998,20,8,6,5,3,0.010037041462540327,0.017325845381766042
1.0,10000,1,1,2022,835000,2,0.0,0.0,5,999,27,9,17,11,15,0.003465169076353208,0.0003584657665192974
0.0,19000,0,1,2019,695000,2,0.0,0.0,5,1197,9,9,19,11,14,0.03106703309833911,0.002389771776795316
1.0,14000,1,1,2020,1725000,2,1.0,0.0,5,1353,13,9,24,14,20,0.01135141593977775,0.0017923288325964871
0.0,29268,0,1,2014,330000,2,1.0,0.0,5,814,9,9,9,7,7,0.008364201218783606,0.0013143744772374237
2.0,20000,1,1,2019,990000,2,0.0,0.0,5,1197,31,9,23,12,13,0.008125224041104075,0.0002389771776795316
2.0,30000,0,1,2018,750000,2,0.0,0.0,5,1496,30,9,18,13,11,0.002031306010276019,0.0001194885888397658
0.0,64374,1,1,2018,755000,2,0.0,0.0,5,1199,8,9,13,12,12,0.01338272195005377,0.002509260365635082
1.0,30000,0,1,2021,1750000,2,0.0,1.0,5,1956,16,9,22,11,16,0.005735452264308758,0.0003584657665192974
1.0,7100,1,1,2022,2082999,2,1.0,0.0,6,1999,9,9,28,16,22,0.0021507945991157845,0.0001194885888397658
0.0,43679,0,1,2010,271000,2,1.0,0.0,5,1086,9,9,7,7,4,0.021866411757677142,0.0004779543553590632
1.0,40000,1,1,2018,1280000,2,0.0,0.0,5,1591,9,9,27,12,16,0.023180786234914565,0.0008364201218783606
0.0,40562,0,1,2012,436000,2,2.0,1.0,5,1396,9,9,8,6,5,0.03955072290596248,0.0001194885888397658
